id,state,abbr,forRent,ownerOccupied
1,Alabama,AL,0.190988324,0.741236381
2,Alaska,AK,0.100828354,0.73182137
3,Arizona,AZ,0.176251007,0.76065321
4,Arkansas,AR,0.199701611,0.782035928
5,California,CA,0.21183853,0.54201986
6,Colorado,CO,0.160747482,0.758694489
7,Connecticut,CT,0.241076806,0.733147927
8,Delaware,DE,0.118826659,0.757582995
9,District of Columbia,DC,0.331215719,0.621235324
10,Florida,FL,0.140085566,0.730834753
11,Georgia,GA,0.217517992,0.739374897
12,Hawaii,HI,0.262977479,0.573415543
13,Idaho,ID,0.113270097,0.767927724
14,Illinois,IL,0.217213276,0.747295366
15,Indiana,IN,0.216821509,0.777378815
16,Iowa,IA,0.176389108,0.799849038
17,Kansas,KS,0.248056684,0.752441297
18,Kentucky,KY,0.164074494,0.801724138
19,Louisiana,LA,0.194954293,0.724446466
20,Maine,ME,0.068259002,0.785602153
21,Maryland,MD,0.213789372,0.790411296
22,Massachusetts,MA,0.149536626,0.696511083
23,Michigan,MI,0.102282875,0.779155133
24,Minnesota,MN,0.113923754,0.772732935
25,Mississippi,MS,0.182193399,0.764219737
26,Missouri,MO,0.159986771,0.770625567
27,Montana,MT,0.114607774,0.766507828
28,Nebraska,NE,0.211599633,0.772417243
29,Nevada,NV,0.247230206,0.672846238
30,New Hampshire,NH,0.085346972,0.766593481
31,New Jersey,NJ,0.194121959,0.693048475
32,New Mexico,NM,0.154756109,0.761927035
33,New York,NY,0.172859767,0.369215392
34,North Carolina,NC,0.163494721,0.693456615
35,North Dakota,ND,0.172228011,0.800553651
36,Ohio,OH,0.195163415,0.775720165
37,Oklahoma,OK,0.190844756,0.74532513
38,Oregon,OR,0.137334949,0.703038674
39,Pennsylvania,PA,0.165975432,0.749577782
40,Rhode Island,RI,0.214493355,0.696847211
41,South Carolina,SC,0.193259055,0.76264881
42,South Dakota,SD,0.136821742,0.744888157
43,Tennessee,TN,0.1892849,0.735037533
44,Texas,TX,0.250953623,0.716683519
45,Utah,UT,0.152480738,0.757799672
46,Vermont,VT,0.049077249,0.767646119
47,Virginia,VA,0.18527697,0.754557292
48,Washington,WA,0.16187626,0.743600163
49,West Virginia,WV,0.136616197,0.8135506
50,Wisconsin,WI,0.111452282,0.766091281
51,Wyoming,WY,0.162702536,0.818818167
52,Puerto Rico,PR,0.119327383,0.739234043
